drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00313,Valproic acid,BE0002366,Histone deacetylase 2,inhibitor,unknown,Humans,HDAC2,Q92769
DB00313,Valproic acid,BE0000071,Peroxisome proliferator-activated receptor alpha,agonist,unknown,Humans,PPARA,Q07869
DB00313,Valproic acid,BE0001007,Peroxisome proliferator-activated receptor delta,agonist,unknown,Humans,PPARD,Q03181
DB00313,Valproic acid,BE0000215,Peroxisome proliferator-activated receptor gamma,agonist,unknown,Humans,PPARG,P37231
DB00313,Valproic acid,BE0008667,Histone deacetylase,inhibitor,unknown,Humans,HDAC1,Q13547
DB00313,Valproic acid,BE0009012,Cyclin-dependent kinase inhibitor 1,regulator,unknown,Humans,CDKN1A,P38936
DB00313,Valproic acid,BE0001121,Hepatocyte growth factor,inhibitor,unknown,Humans,HGF,P14210
DB00313,Valproic acid,BE0000404,Ornithine decarboxylase,downregulator,unknown,Humans,ODC1,P11926
DB00313,Valproic acid,BE0003441,Programmed cell death 1 ligand 1,downregulator,unknown,Humans,CD274,Q9NZQ7
DB00314,Capreomycin,BE0009727,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,inhibitor,yes,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),tlyA,P9WJ63
DB00315,Zolmitriptan,BE0000797,5-hydroxytryptamine receptor 1B,agonist,yes,Humans,HTR1B,P28222
DB00315,Zolmitriptan,BE0000659,5-hydroxytryptamine receptor 1D,agonist,yes,Humans,HTR1D,P28221
DB00315,Zolmitriptan,BE0000460,5-hydroxytryptamine receptor 1F,agonist,yes,Humans,HTR1F,P30939
DB00315,Zolmitriptan,BE0000476,5-hydroxytryptamine receptor 1E,agonist,unknown,Humans,HTR1E,P28566
DB00315,Zolmitriptan,BE0000650,5-hydroxytryptamine receptor 7,agonist,no,Humans,HTR7,P34969
DB00315,Zolmitriptan,BE0000291,5-hydroxytryptamine receptor 1A,agonist,no,Humans,HTR1A,P08908
DB00315,Zolmitriptan,BE0000451,5-hydroxytryptamine receptor 2A,agonist,no,Humans,HTR2A,P28223
DB00315,Zolmitriptan,BE0000393,5-hydroxytryptamine receptor 2B,agonist,no,Humans,HTR2B,P41595
DB00316,Acetaminophen,BE0000262,Prostaglandin G/H synthase 2,inhibitor,yes,Humans,PTGS2,P35354
DB00316,Acetaminophen,BE0000017,Prostaglandin G/H synthase 1,inhibitor,yes,Humans,PTGS1,P23219
DB00316,Acetaminophen,BE0000749,Sodium-dependent serotonin transporter,inhibitor,unknown,Humans,SLC6A4,P31645
DB00316,Acetaminophen,BE0000486,Sodium-dependent noradrenaline transporter,inhibitor,unknown,Humans,SLC6A2,P23975
DB00316,Acetaminophen,BE0002480,Prostaglandin E synthase 3,inhibitor,unknown,Humans,PTGES3,Q15185
DB00316,Acetaminophen,BE0001023,Transient receptor potential cation channel subfamily V member 1,activator,unknown,Humans,TRPV1,Q8NER1
DB00317,Gefitinib,BE0000767,Epidermal growth factor receptor,antagonist,yes,Humans,EGFR,P00533
DB00318,Codeine,BE0000770,Mu-type opioid receptor,"agonist, regulator",yes,Humans,OPRM1,P35372
DB00318,Codeine,BE0000632,Kappa-type opioid receptor,agonist,yes,Humans,OPRK1,P41145
DB00318,Codeine,BE0000420,Delta-type opioid receptor,agonist,yes,Humans,OPRD1,P41143
DB00319,Piperacillin,BE0004643,serine-type D-Ala-D-Ala carboxypeptidase,inhibitor,yes,Streptococcus pneumoniae,pbp3,Q75Y35
DB00319,Piperacillin,BE0003624,Penicillin-binding protein 2B,inhibitor,yes,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),penA,P0A3M6
DB00319,Piperacillin,BE0004644,Penicillin-binding protein 2a,inhibitor,yes,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),pbp2a,Q8DNB6
DB00319,Piperacillin,BE0004335,Penicillin-binding protein 1b,inhibitor,yes,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),pbp1b,Q7CRA4
DB00320,Dihydroergotamine,BE0000797,5-hydroxytryptamine receptor 1B,agonist,yes,Humans,HTR1B,P28222
