drugbank_id,drug_name,transporter_id,transporter_name,actions,organism,gene_name,uniprot_id
DB00254,Doxycycline,BE0001066,Solute carrier family 22 member 6,inhibitor,Humans,SLC22A6,Q4U2R8
DB00254,Doxycycline,BE0002369,ATP-binding cassette sub-family B member 5,inducer,Humans,ABCB5,Q2M3G0
DB00255,Diethylstilbestrol,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,inhibitor,Humans,ABCG2,Q9UNQ0
DB00255,Diethylstilbestrol,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00255,Diethylstilbestrol,BE0001004,Solute carrier organic anion transporter family member 1B1,inhibitor,Humans,SLCO1B1,Q9Y6L6
DB00255,Diethylstilbestrol,BE0001042,Solute carrier organic anion transporter family member 2B1,substrate,Humans,SLCO2B1,O94956
DB00255,Diethylstilbestrol,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00257,Clotrimazole,BE0001032,ATP-dependent translocase ABCB1,"inhibitor, inducer",Humans,ABCB1,P08183
DB00257,Clotrimazole,BE0000703,Bile salt export pump,"substrate, inhibitor",Humans,ABCB11,O95342
DB00257,Clotrimazole,BE0001004,Solute carrier organic anion transporter family member 1B1,"substrate, inhibitor",Humans,SLCO1B1,Q9Y6L6
DB00257,Clotrimazole,BE0003659,Solute carrier organic anion transporter family member 1B3,inducer,Humans,SLCO1B3,Q9NPD5
DB00260,Cycloserine,BE0004704,Proton-coupled amino acid transporter 2,,Humans,SLC36A2,Q495M3
DB00264,Metoprolol,BE0003647,Solute carrier family 22 member 2,inhibitor,Humans,SLC22A2,O15244
DB00270,Isradipine,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00273,Topiramate,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00273,Topiramate,BE0004907,5'-AMP-activated protein kinase,inducer,Humans,PRKAA1,Q13131
DB00274,Cefmetazole,BE0001018,Solute carrier family 15 member 1,inhibitor,Humans,SLC15A1,P46059
DB00274,Cefmetazole,BE0001134,Solute carrier family 15 member 2,inhibitor,Humans,SLC15A2,Q16348
DB00275,Olmesartan,BE0001069,ATP-binding cassette sub-family C member 2,"substrate, inducer",Humans,ABCC2,Q92887
DB00275,Olmesartan,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00275,Olmesartan,BE0001004,Solute carrier organic anion transporter family member 1B1,substrate,Humans,SLCO1B1,Q9Y6L6
DB00275,Olmesartan,BE0000703,Bile salt export pump,inhibitor,Humans,ABCB11,O95342
DB00276,Amsacrine,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00277,Theophylline,BE0003646,Solute carrier family 22 member 7,inhibitor,Humans,SLC22A7,Q9Y694
DB00279,Liothyronine,BE0003642,Solute carrier organic anion transporter family member 1A2,substrate,Humans,SLCO1A2,P46721
DB00279,Liothyronine,BE0001004,Solute carrier organic anion transporter family member 1B1,substrate,Humans,SLCO1B1,Q9Y6L6
DB00279,Liothyronine,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00279,Liothyronine,BE0003653,Solute carrier organic anion transporter family member 4C1,substrate,Humans,SLCO4C1,Q6ZQN7
DB00279,Liothyronine,BE0003644,Hepatic sodium/bile acid cotransporter,substrate,Humans,SLC10A1,Q14973
